"Year" "TZA" "MS" "rCC" "Cops" "Micro" "rZPPP" "Sprat" "Herring" "Stickle" "Cod" "SPF" "LPF"
"1" 1979 9.28803696937631 0.020907962 -2.16539902185023 5.3058816917662 2.13030806372552 0.148861754 6.30554509341429 8.24275634571448 -6.18168796150981 3.45475751649109 NA 2.8606927156483
"2" 1980 8.96289204541235 0.016905343 -3.08914348953196 4.81537310735796 1.41262162985844 0.035422909 6.2798338833399 8.24362438990771 -6.43018782769772 2.98773855877854 NA 2.80939986403319
"3" 1981 9.97220724304589 0.01391324 -0.674224903403358 5.12047431366776 4.69036133152781 0.503955459 7.82875490658403 8.43507165781392 -6.79697985046285 2.85063927381048 NA 2.72519832793524
"4" 1982 9.74647391050753 0.020954183 -0.309999045908677 5.35734268710489 4.67447741405983 1.611861094 8.15139100636445 7.99550882431537 -6.23001721135279 3.02776059683237 NA 2.60178772324319
"5" 1983 10.2374804273642 0.015316509 0.675990275990739 5.06235429772343 5.56217466050748 0.803400875 9.32622827967811 8.20070003711034 -6.12325847856413 3.25415941309127 NA 2.60465804325278
"6" 1984 10.5273574304481 0.016025918 -0.65208992027685 5.83047437170526 5.36971352276471 1.937754425 8.70654001314695 8.12938134354539 -5.65974214453818 3.2664360138806 1.22592254903255 2.62685937904196
"7" 1985 10.0055983131555 0.014970575 -0.90444315243089 5.48379463343042 4.46113046658763 0.679463132 9.16010967073126 7.68519765103748 -5.13632930793728 3.00921788259408 2.74934610570934 2.3799353176477
"8" 1986 10.3103211904467 0.020243849 -0.257457696284455 5.9846078377619 5.22069217445248 0.957661481 8.40187212263077 8.73501058389503 -4.66206376431183 2.72112159695504 6.72841563705764 2.01352487133074
"9" 1987 10.051438740018 0.017049711 -3.80900975243717 5.92604801262948 2.16473544118024 0.505375962 8.20955327962351 8.0325225251271 -4.14439772063309 2.60061108220024 4.40845701853791 1.85116860754558
"10" 1988 9.89432166382775 0.019106481 0.49946322996503 5.03025035282216 5.08396730765291 1.758525773 8.31240514238634 8.27246843206842 -3.66048400792035 2.45362837843971 9.20567854311802 1.81034632509382
"11" 1989 9.55505133404668 0.01898508 0.0795706313399592 5.02907652125145 4.62656277607425 2.000904019 7.91585917412874 7.81229726382174 -3.29094900707337 1.97580162826996 NA 1.56492829364417
"12" 1990 9.9051308670549 0.017613808 0.434883567168732 5.131410905897 5.18081701986886 0.209806516 8.41803561988302 8.53895468319775 -3.02594044038709 1.30960957182271 4.07591961168334 1.09356222520261
"13" 1991 9.45340018961961 0.01810658 -1.82375760871501 5.28910020522539 3.14774633772853 0.105387437 9.78548062481779 8.22622683212728 -2.88669263019423 0.846851475057809 5.94100882370201 0.645741582436418
"14" 1992 9.30843677846168 0.014267386 -0.103790220328248 4.55796937951531 3.90057031663623 0.157969343 9.47168482430431 9.00470176692729 -2.87840455931845 1.03125557793984 5.72973044042436 0.658231666722471
